"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price CAD"
"1","1","1528-1068-ND","1208","SMT ADAPTERS 3 PACK 28SOIC/TSSOP","","1","0","6.61000","6.61"
"2","3","MAX6921AUI+-ND","MAX6921AUI+","IC DRVR VFD TUBE SRL 28TSSOP","","3","0","9.45000","28.35"
"3","2","1965-1000-ND","ESP32-DEVKITC-32D","EVAL BOARD FOR ESP-WROOM-32","","2","0","14.23000","28.46"
"4","6","MBR160GOS-ND","MBR160G","DIODE SCHOTTKY 60V 1A AXIAL","D1, D3","6","0","0.51000","3.06"
"5","10","399-4151-ND","C315C104M5U5TA","CAP CER 0.1UF 50V Z5U RADIAL","C1, C3, C5","10","0","0.21000","2.10"
"6","4","493-12604-1-ND","UVK2A220MED1TD","CAP ALUM 22UF 20% 100V RADIAL","C6","4","0","0.52000","2.08"
"7","10","P19520CT-ND","ECA-1EHG470I","CAP ALUM 47UF 20% 25V RADIAL","C2, C7","10","0","0.25400","2.54"
"8","3","P124213-ND","EEU-FR0J221","CAP ALUM 220UF 20% 6.3V RAD TH","C4","3","0","0.53000","1.59"
"9","3","RXEF020HF-ND","RXEF020","PTC RESET FUSE 72V 200MA RADIAL","F1","3","0","0.55000","1.65"
"10","3","MC7805CT-BPMS-ND","MC7805CT-BP","IC REG LINEAR 5V 1.5A TO220","IC3","3","0","0.80000","2.40"
"11","2","CP-102A-ND","PJ-102A","CONN PWR JACK 2X5.5MM SOLDER","J1","2","0","0.87000","1.74"
"12","3","811-2054-ND","13R225C","FIXED IND 2.2MH 240MA 4.5 OHM TH","L1","3","0","0.79000","2.37"
"13","2","364-1263-ND","L6R12H-090","AC/DC WALL MOUNT ADAPTER 9V 12W","Power","2","0","10.18000","20.36"
"14","3","IRFD120PBF-ND","IRFD120PBF","MOSFET N-CH 100V 1.3A 4DIP","Q2","3","0","1.36000","4.08"